1-FF,1-Overlap,SNR,old_SNR,Q_0,M_c_0 (solar masses),Chi_eff_0,Chi_2z_0,Chi_1p_0,theta_1p_0,Chi_2p_0,theta_2p_0,incl_0,longascnodes_0,pol_0
0.00031138974911870676,0.003977370882059628,44.8853294846774,33.636299583706936,3.14,29.79999999999988,0.437,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-FF,1-Overlap,SNR,old_SNR,Q_0,M_c_0 (solar masses),Chi_eff_0,Chi_2z_0,Chi_1p_0,theta_1p_0,Chi_2p_0,theta_2p_0,incl_0,longascnodes_0,pol_0
4.846977800232466e-07,1.1102230246251565e-16,FF<Overlap,201326592.0,3.14,29.79999999999988,0.437,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-FF,1-Overlap,SNR,old_SNR,Q_0,M_c_0 (solar masses),Chi_eff_0,Chi_2z_0,Chi_1p_0,theta_1p_0,Chi_2p_0,theta_2p_0,incl_0,longascnodes_0,pol_0
0.0003304129270769174,0.0057437096286641065,36.93759495028706,27.990458904687195,3.14,29.79999999999988,0.437,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-FF,1-Overlap,SNR,old_SNR,Q_0,M_c_0 (solar masses),Chi_eff_0,Chi_2z_0,Chi_1p_0,theta_1p_0,Chi_2p_0,theta_2p_0,incl_0,longascnodes_0,pol_0
0.0001710112152122356,0.0012266514465856249,83.6453039555017,60.56833973883938,2.247157907915618,74.79572072954083,-0.2602214020812665,-0.3684794749026872,0.39456690303624153,-1.32402179269136,0.7452079603742373,-1.32402179269136,2.913627835794449,0.6372771103479897,0.9354979555824305
0.018023816782541058,0.022922933031785053,38.827609922273936,14.01106552324587,8.908615992593917,13.492421002346237,-0.17135861887720785,-0.6720518182089252,0.21100424544170004,-1.2748414376644432,0.3268410257984271,-1.2748414376644432,5.764234811044286,1.25530475940991,0.8725391117384566
0.0006068601052993117,0.011140936653730837,26.47898266567545,20.097655817794458,8.099405998655639,36.14298182569264,0.6343271263885651,-0.395581349315026,0.08766916501779966,0.5585674083326159,0.5999686140415477,0.5585674083326159,1.4830653270784204,0.8679132897598184,1.4548645518187162
0.0004898390070787739,0.012489591699155644,24.8092355482341,18.981570242499018,2.873631387392202,50.60478906783906,0.45146480484375723,0.8430683480347998,0.5932528835768384,0.9566225547747074,0.3643506639712552,0.9566225547747074,2.08019315845971,1.1772632420309743,0.03337364251048336
0.0010486823742086315,0.03508709614840366,14.730411310516942,11.324852216740757,1.2584425567539503,59.18757863215221,0.47234021506271445,0.711886893924456,0.1639767525409077,-0.08848179747207928,0.6281253668762764,3.053110856117714,0.4114139150385748,0.01100187504737898,0.3783876339461587
2.7153950137415173e-05,0.004798574524365273,39.34374357118297,30.62316926635744,1.5515446400263095,86.57250511441897,0.46736872089502196,0.6110387596602653,0.08989611128003472,2.415943420485547,0.3078459143445925,-0.725649233104246,2.7517191269750394,0.7004354566684834,0.7022939153657622
