Q_Target, Chirp_Mass_Target, Eff_spin_Target, Chi_2z_Target, Chi_1x_Target, Chi_1y_Target, incl, Approximant, match, Time, Q, Chirp_Mass, Eff_spin, Chi_2z, Chi_1x, Chi_1y, incl
1.5, 4.22282087455004e+31, 0.8999999999999999, 0.9, -0.1, -0.1, 0, IMRPhenomTPHM, 3.164537266719947e-05, 35.99421405792236, 1.5392216089749233, 4.22360426720512e+31, 0.9071306115739979, 0.9990411107755335, 0.013216940806269215, -0.11557819226876495, 3.126782166512787
15.0, 5.798780492787632e+31, 0.425, -0.7, -0.6, 0.4, 1.5707963267948966, IMRPhenomTPHM, 0.12020063412365456, 41.76123094558716, 19.999224697761747, 6.598316267121302e+31, 0.6082631395447037, -0.8105742229739403, 0.13825702530843867, -0.15755809066725313, 2.2866261524775706
4.5, 6.9725377842584855e+31, 0.5818181818181818, 0.5, -0.3, 0.4, 0.7853981633974483, IMRPhenomTPHM, 0.0004877495595106973, 31.455877542495728, 4.321164562873654, 6.9885984760204955e+31, 0.6007300007151102, 0.7644530901949065, 0.3939214385744845, -0.31178123580943407, 2.4194467708431215
2.0, 2.4193553248023383e+31, 0.3, -0.7, -0.2, 0.1, 1.0471975511965976, IMRPhenomTPHM, 0.010271837938307105, 112.5084125995636, 3.851964791171505, 2.4257595952399763e+31, 0.45383703156318833, -0.29154566200343807, 0.3355631802550816, 0.22686172278993352, 0.7951344442455857
1.6666666666666667, 6.66104961305405e+31, 0.33749999999999997, 0.9, 0.7, 0.7, 1.0471975511965976, IMRPhenomTPHM, 0.006678273478174179, 33.050556659698486, 1.982734590984613, 6.576768425558875e+31, 0.1809766906996664, -0.778127018091104, 0.3891317790345084, -0.45152099808316376, 0.2691384715726472
1.375, 8.09869041673353e+31, 0.08947368421052636, 0.9, 0.5, 0.5, 0.5235987755982988, IMRPhenomTPHM, 8.607908838498268e-06, 27.525654077529907, 1.4037019149752838, 8.09414085914743e+31, 0.08882171714213527, 0.8356441814342646, -0.5095172666636048, -0.48177148556465055, 2.6340415410039903
